IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.207.132.218,28357,443,true,HKG,Asia Pacific,Hong Kong,58,7.81
38.207.132.218,45804,443,true,HKG,Asia Pacific,Hong Kong,59,6.66
38.147.190.237,43718,443,true,HKG,Asia Pacific,Hong Kong,56,6.39
154.9.246.169,58148,443,true,HKG,Asia Pacific,Hong Kong,63,6.22
178.173.237.179,30809,80,false,HKG,Asia Pacific,Hong Kong,66,5.13
154.9.245.150,48056,443,true,HKG,Asia Pacific,Hong Kong,59,4.73
154.9.245.150,14648,443,true,HKG,Asia Pacific,Hong Kong,69,4.66
194.104.146.124,30809,80,false,HKG,Asia Pacific,Hong Kong,61,4.60
154.9.245.150,52427,443,true,HKG,Asia Pacific,Hong Kong,61,4.52
178.173.237.178,30809,80,false,HKG,Asia Pacific,Hong Kong,57,4.41
154.9.245.150,12365,443,true,HKG,Asia Pacific,Hong Kong,59,4.20
154.9.245.138,34590,443,true,HKG,Asia Pacific,Hong Kong,72,4.17
45.92.158.126,443,443,true,HKG,Asia Pacific,Hong Kong,66,4.13
154.9.245.138,25127,443,true,HKG,Asia Pacific,Hong Kong,73,4.12
154.9.246.36,22546,443,true,HKG,Asia Pacific,Hong Kong,76,4.00
38.207.132.218,26887,443,true,HKG,Asia Pacific,Hong Kong,61,3.88
154.9.246.174,54707,443,true,HKG,Asia Pacific,Hong Kong,70,3.87
154.9.246.174,41482,443,true,HKG,Asia Pacific,Hong Kong,62,3.87
154.9.246.174,28263,443,true,HKG,Asia Pacific,Hong Kong,65,3.71
43.240.13.74,12356,443,true,HKG,Asia Pacific,Hong Kong,66,3.44
206.237.29.46,34869,443,true,HKG,Asia Pacific,Hong Kong,72,3.39
38.207.132.218,46082,443,true,HKG,Asia Pacific,Hong Kong,58,3.35
154.9.245.138,23615,443,true,HKG,Asia Pacific,Hong Kong,65,3.30
154.9.245.29,26738,443,true,HKG,Asia Pacific,Hong Kong,58,3.23
154.9.246.36,53117,443,true,HKG,Asia Pacific,Hong Kong,65,3.22
38.207.132.218,31759,443,true,HKG,Asia Pacific,Hong Kong,66,3.18
154.9.246.174,22516,443,true,HKG,Asia Pacific,Hong Kong,58,3.18
47.83.13.99,443,443,true,HKG,Asia Pacific,Hong Kong,52,3.05
206.237.9.227,20523,443,true,HKG,Asia Pacific,Hong Kong,73,3.04
154.9.245.138,43412,443,true,HKG,Asia Pacific,Hong Kong,68,3.03
154.9.245.29,31114,443,true,HKG,Asia Pacific,Hong Kong,68,3.01
154.9.245.150,43637,443,true,HKG,Asia Pacific,Hong Kong,62,2.96
154.9.245.138,17171,443,true,HKG,Asia Pacific,Hong Kong,58,2.88
154.9.245.150,44112,443,true,HKG,Asia Pacific,Hong Kong,67,2.88
38.207.132.218,45072,443,true,HKG,Asia Pacific,Hong Kong,69,2.73
154.9.245.138,49519,443,true,HKG,Asia Pacific,Hong Kong,70,2.72
206.237.31.10,11359,443,true,HKG,Asia Pacific,Hong Kong,58,2.71
178.173.237.166,30809,80,false,HKG,Asia Pacific,Hong Kong,66,2.60
154.9.246.174,35795,443,true,HKG,Asia Pacific,Hong Kong,57,2.60
154.9.245.29,21341,443,true,HKG,Asia Pacific,Hong Kong,60,2.46
154.9.245.138,16176,443,true,HKG,Asia Pacific,Hong Kong,73,2.35
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,59,2.19
141.11.79.224,65250,443,true,HKG,Asia Pacific,Hong Kong,315,2.16
206.237.20.46,45097,443,true,HKG,Asia Pacific,Hong Kong,60,2.13
154.9.246.169,16224,443,true,HKG,Asia Pacific,Hong Kong,60,2.05
154.9.245.29,27483,443,true,HKG,Asia Pacific,Hong Kong,60,2.01
154.9.245.29,16703,443,true,HKG,Asia Pacific,Hong Kong,83,1.97
206.237.21.220,24554,443,true,HKG,Asia Pacific,Hong Kong,59,1.97
206.237.31.94,2443,443,true,HKG,Asia Pacific,Hong Kong,57,1.79
154.9.246.36,28141,443,true,HKG,Asia Pacific,Hong Kong,68,1.76
43.240.12.98,29062,443,true,HKG,Asia Pacific,Hong Kong,59,1.66
154.9.245.138,38161,443,true,HKG,Asia Pacific,Hong Kong,57,1.63
156.251.180.181,21698,443,true,HKG,Asia Pacific,Hong Kong,76,1.61
206.237.31.10,23860,443,true,HKG,Asia Pacific,Hong Kong,69,1.52
178.173.238.162,20005,443,true,HKG,Asia Pacific,Hong Kong,60,1.41
206.237.29.46,21020,443,true,HKG,Asia Pacific,Hong Kong,60,1.40
206.237.22.91,8443,443,true,HKG,Asia Pacific,Hong Kong,64,1.38
154.9.246.174,11404,443,true,HKG,Asia Pacific,Hong Kong,60,1.34
154.9.245.150,47475,443,true,HKG,Asia Pacific,Hong Kong,60,1.25
154.9.245.150,45488,443,true,HKG,Asia Pacific,Hong Kong,59,1.18
206.237.29.46,58601,443,true,HKG,Asia Pacific,Hong Kong,57,1.18
154.9.245.150,58152,443,true,HKG,Asia Pacific,Hong Kong,62,1.18
154.9.245.29,33463,443,true,HKG,Asia Pacific,Hong Kong,58,1.15
154.9.246.174,13637,443,true,HKG,Asia Pacific,Hong Kong,60,1.15
154.9.246.174,58319,443,true,HKG,Asia Pacific,Hong Kong,60,1.03
45.153.130.138,34636,443,true,HKG,Asia Pacific,Hong Kong,70,1.02
154.88.25.179,28985,443,true,HKG,Asia Pacific,Hong Kong,78,0.99
154.9.245.150,17321,443,true,HKG,Asia Pacific,Hong Kong,65,0.98
45.8.186.160,8443,443,true,HKG,Asia Pacific,Hong Kong,320,0.86
45.64.75.26,34239,443,true,HKG,Asia Pacific,Hong Kong,57,0.81
154.9.246.174,50121,443,true,HKG,Asia Pacific,Hong Kong,58,0.69
45.87.103.162,51402,443,true,HKG,Asia Pacific,Hong Kong,75,0.63
149.104.18.225,19998,80,false,HKG,Asia Pacific,Hong Kong,198,0.59
154.9.245.29,21396,443,true,HKG,Asia Pacific,Hong Kong,68,0.59
141.11.149.64,59644,443,true,HKG,Asia Pacific,Hong Kong,330,0.55
154.9.246.36,18732,443,true,HKG,Asia Pacific,Hong Kong,65,0.53
47.238.198.21,443,443,true,HKG,Asia Pacific,Hong Kong,52,0.52
38.47.123.15,60999,80,false,HKG,Asia Pacific,Hong Kong,67,0.46
154.9.245.138,30487,443,true,HKG,Asia Pacific,Hong Kong,62,0.41
43.240.13.199,41846,443,true,HKG,Asia Pacific,Hong Kong,64,0.37
103.235.18.253,11189,443,true,HKG,Asia Pacific,Hong Kong,69,0.32
141.11.149.93,28668,443,true,HKG,Asia Pacific,Hong Kong,324,0.27
202.66.132.250,443,443,true,HKG,Asia Pacific,Hong Kong,69,0.27
43.247.134.147,47575,443,true,HKG,Asia Pacific,Hong Kong,258,0.20
45.149.186.112,8080,443,true,HKG,Asia Pacific,Hong Kong,330,0.16
202.181.27.218,14526,443,true,HKG,Asia Pacific,Hong Kong,200,0.15
129.226.12.38,443,443,true,HKG,Asia Pacific,Hong Kong,90,0.14
178.253.32.28,2024,443,true,HKG,Asia Pacific,Hong Kong,312,0.10
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,62,0.07
103.20.223.16,50048,443,true,HKG,Asia Pacific,Hong Kong,78,0.04
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,63,0.03
157.254.32.25,48026,443,true,HKG,Asia Pacific,Hong Kong,87,0.02
157.254.32.25,58746,443,true,HKG,Asia Pacific,Hong Kong,75,0.01
157.254.32.25,44987,443,true,HKG,Asia Pacific,Hong Kong,70,0.00
152.32.190.205,37766,443,true,HKG,Asia Pacific,Hong Kong,132,0.00
206.237.25.252,49733,443,true,HKG,Asia Pacific,Hong Kong,62,0.00
