IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
123.254.104.133,40810,80,false,NRT,Asia Pacific,Tokyo,65,7.78
8.140.56.136,80,80,false,NRT,Asia Pacific,Tokyo,47,6.23
103.20.199.246,44124,443,true,NRT,Asia Pacific,Tokyo,80,6.17
149.62.44.233,41166,443,true,NRT,Asia Pacific,Tokyo,172,5.47
103.20.199.101,33003,443,true,NRT,Asia Pacific,Tokyo,79,5.24
46.3.107.140,33333,443,true,NRT,Asia Pacific,Tokyo,47,4.40
103.20.199.101,33004,443,true,NRT,Asia Pacific,Tokyo,80,3.19
45.142.166.55,22387,80,false,NRT,Asia Pacific,Tokyo,169,3.07
60.205.0.210,80,80,false,NRT,Asia Pacific,Tokyo,49,2.45
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,98,1.68
45.142.166.55,22388,443,true,NRT,Asia Pacific,Tokyo,171,1.34
38.147.191.180,32047,443,true,KIX,Asia Pacific,Osaka,62,1.20
38.207.130.33,50045,443,true,NRT,Asia Pacific,Tokyo,78,0.75
116.206.92.153,443,443,true,NRT,Asia Pacific,Tokyo,78,0.56
154.64.226.138,443,443,true,NRT,Asia Pacific,Tokyo,132,0.51
193.111.31.133,50896,443,true,NRT,Asia Pacific,Tokyo,172,0.21
116.206.92.153,8562,80,false,NRT,Asia Pacific,Tokyo,83,0.16
13.230.34.30,443,443,true,NRT,Asia Pacific,Tokyo,147,0.03
141.11.139.211,8443,443,true,NRT,Asia Pacific,Tokyo,91,0.02
35.77.126.144,443,443,true,NRT,Asia Pacific,Tokyo,141,0.01
54.199.224.90,80,80,false,NRT,Asia Pacific,Tokyo,131,0.01
185.184.223.19,59775,443,true,NRT,Asia Pacific,Tokyo,173,0.00
54.248.121.219,443,443,true,NRT,Asia Pacific,Tokyo,145,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,144,0.00
45.60.186.91,2052,2052,false,NRT,Asia Pacific,Tokyo,244,0.00
3.113.25.44,443,443,true,NRT,Asia Pacific,Tokyo,133,0.00
173.240.13.110,1,80,false,NRT,Asia Pacific,Tokyo,173,0.00
103.75.70.171,14722,443,true,NRT,Asia Pacific,Tokyo,231,0.00
