IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.225.64.72,25017,443,true,SIN,Asia Pacific,Singapore,108,5.22
120.220.19.109,2082,2082,false,SIN,Asia Pacific,Singapore,51,3.93
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,64,3.73
52.163.67.59,80,80,false,SIN,Asia Pacific,Singapore,100,3.54
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,62,3.37
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,60,3.24
120.220.19.103,2082,2082,false,SIN,Asia Pacific,Singapore,41,3.11
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,65,2.91
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,61,2.63
45.87.103.162,50007,443,true,SIN,Asia Pacific,Singapore,56,2.49
139.84.162.197,443,443,true,SIN,Asia Pacific,Singapore,267,2.43
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,81,2.34
47.236.75.163,8443,443,true,SIN,Asia Pacific,Singapore,220,2.17
38.147.188.26,8003,443,true,SIN,Asia Pacific,Singapore,64,1.95
8.222.155.206,443,443,true,SIN,Asia Pacific,Singapore,220,1.41
172.93.188.140,443,443,true,SIN,Asia Pacific,Singapore,199,0.99
47.236.197.190,8443,443,true,SIN,Asia Pacific,Singapore,216,0.89
43.156.116.194,443,443,true,SIN,Asia Pacific,Singapore,87,0.69
138.2.113.149,443,443,true,SIN,Asia Pacific,Singapore,312,0.60
43.134.34.18,443,443,true,SIN,Asia Pacific,Singapore,86,0.60
8.223.2.222,80,80,false,SIN,Asia Pacific,Singapore,70,0.49
43.163.3.63,443,443,true,SIN,Asia Pacific,Singapore,78,0.15
34.124.151.234,443,443,true,SIN,Asia Pacific,Singapore,100,0.01
185.126.80.181,51207,0,true,SIN,Asia Pacific,Singapore,142,0.00
